reservationId	financeFieldId	type	name	title	value	total	isIncludedInTotalPrice	isOverriddenByUser	isMandatory	isDeleted
57242598	236604078	totals	totalPaid	Total paid	477.82	477.82	0	0	0	0
57242598	236604079	commissions	hostChannelFee	Host channel fee	79.02	79.02	0	0	0	0
57242598	236604080	commissions	otaPaymentProcessingFee	OTA payment processing fee	6.69	6.69	0	0	0	0
57242598	236604081	fee	cleaningFee	Cleaning fee	67.0	67.0	1	0	1	0
57242598	236604082	tax	vat	VAT / GST	36.16	36.16	1	0	1	0
57242598	236604083	tax	cityTax	City / Tourism tax	13.02	13.02	1	0	1	0
57242598	236604084	accommodation	baseRate	Base rate	361.64	361.64	1	0	1	0
57242598	236604085	totals	totalPriceFromChannel	Total price from channel	477.82	477.82	0	0	0	0
55963919	229847690	fee	cleaningFee	Cleaning fee	80.0	80.0	1	0	1	0
55963919	229847691	tax	salesTax	Sales tax	14.83	14.83	1	0	1	0
55963919	229847692	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	14.83	14.83	0	0	0	0
55963919	229847693	totals	airbnbPayoutSum	Airbnb payout sum	232.8	232.8	0	0	0	0
55963919	229847694	commissions	cancellationHostFee	Cancellation host fee	53.2	53.2	0	0	0	0
55963919	229847695	accommodation	baseRate	Base rate	206.0	206.0	1	0	1	0
55963919	229847696	commissions	hostChannelFee	Host channel fee	53.2	53.2	0	0	0	0
55963919	229847697	totals	totalPriceFromChannel	Total price from channel	300.83	300.83	0	0	0	0
55963919	229849056	totals	totalPaid	Total paid	300.83	300.83	0	0	0	0
56677561	233467924	totals	totalPaid	Total paid	198.6	198.6	0	0	0	0
56677561	233467925	fee	cleaningFee	Cleaning fee	40.0	40.0	1	0	1	0
56677561	233467926	tax	salesTax	Sales tax	10.65	10.65	1	0	1	0
56677561	233467927	tax	airbnbTransientOccupancyTax	Airbnb transient occupancy tax	10.65	10.65	0	0	0	0
56677561	233467928	totals	airbnbPayoutSum	Airbnb payout sum	153.0	153.0	0	0	0	0
56677561	233467929	commissions	hostCancellationPenalty	Host cancellation penalty	0.0	0.0	0	0	0	0
56677561	233467930	commissions	cancellationHostFee	Cancellation host fee	34.95	34.95	0	0	0	0
56677561	233467931	accommodation	baseRate	Base rate	147.95	147.95	1	0	1	0
56677561	233467932	commissions	hostChannelFee	Host channel fee	34.95	34.95	0	0	0	0
56677561	233467933	totals	totalPriceFromChannel	Total price from channel	198.6	198.6	0	0	0	0
57280196	236839865	totals	totalPaid	Total paid	251.92	251.92	0	0	0	0
57280196	236839866	commissions	hostChannelFee	Host channel fee	40.61	40.61	0	0	0	0
57280196	236839867	commissions	otaPaymentProcessingFee	OTA payment processing fee	3.53	3.53	0	0	0	0
57280196	236839868	fee	cleaningFee	Cleaning fee	40.0	40.0	1	0	1	0
